# STN;YYYYMMDD;   FG;  FHX;  FHN;   TG;   TN;   TX;   DR;   RH
  280;20170801;   20;   40;   10;  179;  131;  222;    0;    0
  280;20170802;   35;   60;   10;  180;  128;  223;    0;   -1
  280;20170803;   70;  110;   30;  185;  157;  217;   26;   37
  280;20170804;   58;   90;   30;  172;  147;  213;   15;   19
  280;20170805;   36;   70;   20;  160;  120;  205;    0;    0
  280;20170806;   33;   60;    0;  153;   89;  207;    0;   -1
  280;20170807;   28;   70;    0;  163;   84;  224;    0;    0
  280;20170808;   37;   70;   20;  178;  132;  228;   29;   26
  280;20170809;   44;   70;    0;  160;  102;  215;    0;    0
  280;20170810;   25;   50;    0;  151;   90;  203;    0;    0
  280;20170811;   16;   30;   10;  151;  116;  193;   10;    3
  280;20170812;   40;   60;   30;  157;  109;  210;   25;   22
  280;20170813;   23;   40;   10;  146;   96;  199;    8;   19
  280;20170814;   31;   50;   20;  173;   99;  233;    0;    0
  280;20170815;   22;   50;   10;  190;  145;  243;    8;    1
  280;20170816;   16;   30;   10;  177;   93;  234;    0;    0
  280;20170817;   39;   60;   10;  171;  127;  195;   48;   19
  280;20170818;   46;   70;   20;  167;  109;  221;    9;   22
  280;20170819;   52;   80;   30;  143;  107;  194;   22;  108
  280;20170820;   50;   80;   30;  145;  104;  194;   19;   31
  280;20170821;   23;   40;    0;  143;   86;  204;    0;    0
  280;20170822;   18;   40;    0;  146;   79;  209;    0;    0
  280;20170823;   31;   40;   20;  172;   98;  236;    3;   42
  280;20170824;   35;   60;   20;  175;  117;  221;    0;   -1
  280;20170825;   25;   30;   20;  166;  112;  231;    0;    0
  280;20170826;   20;   40;   10;  170;  103;  232;    3;    1
  280;20170827;   21;   30;   10;  163;   95;  220;    0;    0
  280;20170828;   14;   40;    0;  177;  103;  248;    0;    0
  280;20170829;   27;   60;   10;  198;  117;  277;    0;    0
  280;20170830;   31;   60;   10;  179;  145;  224;   91;  108
  280;20170831;   34;   60;   10;  141;   78;  189;   65;   49
  280;20170901;   17;   40;    0;  129;   62;  198;    0;    0
  280;20170902;   15;   30;    0;  125;   65;  188;    4;   31
  280;20170903;   11;   20;    0;  131;   42;  201;    0;    0
  280;20170904;   16;   30;   10;  151;   74;  223;    0;    0
  280;20170905;   31;   60;   10;  176;  118;  224;    1;    1
  280;20170906;   40;   80;   20;  150;  125;  179;   42;   61
  280;20170907;   33;   50;   10;  146;  114;  188;   25;   35
  280;20170908;   56;   80;   30;  145;  117;  171;  120;  244
  280;20170909;   25;   40;   10;  131;   91;  170;   65;   70
  280;20170910;   58;   90;   20;  141;   88;  189;    3;    1
  280;20170911;   81;  100;   70;  145;  123;  182;   32;   32
  280;20170912;   58;   80;   20;  133;  101;  178;   16;   56
  280;20170913;   89;  150;   50;  126;   99;  150;   67;  159
  280;20170914;   56;   90;   30;  118;   93;  152;   37;   61
  280;20170915;   50;   70;   30;  119;   74;  172;    0;   -1
  280;20170916;   32;   60;   10;  117;   83;  152;   21;    7
  280;20170917;   18;   30;   10;  118;   92;  163;    0;   -1
  280;20170918;   16;   30;    0;  107;   57;  151;   31;   33
  280;20170919;   22;   40;   10;  109;   59;  167;    6;   14
  280;20170920;   32;   50;   20;  128;  101;  166;    0;    0
  280;20170921;   26;   50;   10;  140;   87;  193;    0;    0
  280;20170922;   14;   40;   10;  133;   73;  194;    0;    0
  280;20170923;   12;   30;    0;  114;   44;  185;    0;    0
  280;20170924;   19;   40;    0;  129;   50;  193;    0;    0
  280;20170925;   23;   30;   10;  139;   98;  171;    0;    0
  280;20170926;   29;   50;   20;  133;   99;  171;    0;    0
  280;20170927;   32;   40;   20;  138;  103;  189;    0;    0
  280;20170928;   25;   30;   10;  140;  105;  173;    0;   -1
  280;20170929;   27;   40;   10;  164;  106;  212;   23;  205
  280;20170930;   23;   40;   10;  129;   71;  158;   73;   71
  280;20171001;   45;   70;   20;  134;   66;  178;    0;   -1
  280;20171002;   64;   90;   40;  141;  103;  176;   54;   50
  280;20171003;   46;   70;   30;  120;   92;  160;   15;   19
  280;20171004;   66;   90;   40;  124;  110;  140;   24;    8
  280;20171005;   79;  150;   40;  121;   94;  155;  112;  129
  280;20171006;   50;   90;   30;  114;   91;  149;   41;   93
  280;20171007;   55;   80;   40;  116;   90;  141;   91;  104
  280;20171008;   33;   50;   10;  103;   34;  147;   15;   10
  280;20171009;   29;   50;   10;  104;   32;  137;   18;   26
  280;20171010;   49;   70;   30;  136;  121;  151;   15;   20
  280;20171011;   77;   90;   60;  143;  130;  153;   31;   21
  280;20171012;   54;   90;   20;  117;   74;  149;    1;    2
  280;20171013;   53;   80;   30;  142;   96;  176;    0;    0
  280;20171014;   50;   70;   10;  147;   88;  181;    0;    0
  280;20171015;   35;   60;   10;  159;   88;  219;    0;    0
  280;20171016;   38;   60;   20;  178;  130;  227;    0;    0
  280;20171017;   47;   80;   20;  128;   74;  168;    0;    0
  280;20171018;   19;   40;   10;  110;   45;  159;    0;    0
  280;20171019;   23;   30;   10;  151;  120;  199;    0;    0
  280;20171020;   58;   80;   30;  140;  118;  166;   75;  138
  280;20171021;   41;   60;   20;  116;   93;  165;   16;   21
  280;20171022;   59;   70;   50;  112;   94;  142;   67;   49
  280;20171023;   49;   90;   10;  111;   67;  140;   53;   41
  280;20171024;   52;   80;   20;  141;   94;  163;   78;   42
  280;20171025;   57;   90;   30;  132;   70;  165;   14;    5
  280;20171026;   39;   60;   30;  124;   86;  161;   11;    6
  280;20171027;   45;   70;   30;  110;   90;  144;   10;   13
  280;20171028;   70;  100;   50;  122;   95;  142;   17;    6
  280;20171029;   90;  130;   60;   97;   68;  139;   12;   17
  280;20171030;   40;   70;   20;   81;   50;  117;   14;   18
  280;20171031;   45;   70;   30;   94;   48;  118;   49;   24
  280;20171101;   50;   70;   40;  119;   95;  145;   18;   15
  280;20171102;   27;   40;   10;   92;   46;  136;   12;   12
  280;20171103;   23;   40;   10;   90;   51;  108;    0;    0
  280;20171104;   39;   60;   30;  100;   70;  124;   16;   16
  280;20171105;   32;   50;   20;   67;   13;  103;   12;   12
  280;20171106;   18;   40;    0;   48;   -6;  109;   13;    6
  280;20171107;   20;   30;    0;   22;  -22;   50;    0;    0
  280;20171108;   21;   30;    0;   61;   36;   76;    0;    0
  280;20171109;   41;   70;   10;   77;   27;  101;   19;   11
  280;20171110;   55;   80;   40;   75;   42;  104;   17;   23
  280;20171111;   39;   60;   20;   50;   10;   93;   21;   23
  280;20171112;   32;   40;   20;   46;    1;   63;   48;   62
  280;20171113;   41;   60;   10;   62;    9;   97;   12;   12
  280;20171114;   50;   80;   30;   71;   11;   93;   52;   21
  280;20171115;   36;   50;   20;   95;   88;  103;   23;    8
  280;20171116;   42;   60;   20;   89;   42;  104;   12;   12
  280;20171117;   30;   50;   10;   45;   -5;  100;    0;    0
  280;20171118;   50;   80;   30;   55;   18;   80;   29;   81
  280;20171119;   55;   90;   30;   63;   24;  100;   17;   29
  280;20171120;   39;   50;   20;   62;   38;  103;  158;  120
  280;20171121;   46;   80;   20;  106;   90;  115;   96;   80
  280;20171122;   81;  100;   60;  107;   96;  122;   42;   16
  280;20171123;   76;  110;   40;   99;   60;  135;   25;   37
  280;20171124;   33;   50;   20;   54;    3;   88;   11;    6
  280;20171125;   30;   60;   10;   20;  -32;   69;    7;    8
  280;20171126;   50;   60;   30;   41;   20;   74;   38;   59
  280;20171127;   66;   90;   40;   58;   24;   86;   58;   53
  280;20171128;   60;   90;   40;   50;   16;   75;   24;   33
  280;20171129;   30;   40;   10;   22;    0;   37;    4;    3
  280;20171130;   17;   30;    0;   10;  -12;   46;   10;    6
  280;20171201;   15;   30;    0;    0;  -49;   44;    0;    0
  280;20171202;   39;   60;   20;   -7;  -23;    9;   34;   19
  280;20171203;   43;   60;   20;   44;    9;   79;   56;   25
  280;20171204;   38;   50;   30;   68;   42;   87;   21;   16
  280;20171205;   51;   60;   40;   76;   68;   85;    0;   -1
  280;20171206;   69;   90;   50;   79;   69;   93;    0;    0
  280;20171207;   86;  110;   40;   57;   42;   74;   41;   88
  280;20171208;   52;   80;   40;   25;    4;   47;   34;   39
  280;20171209;   52;   70;   30;   21;    1;   52;   58;   88
  280;20171210;   58;   80;   40;    3;   -7;   12;   87;   20
  280;20171211;   42;   70;   10;   -3;  -39;   15;   96;  102
  280;20171212;   44;   70;   20;   13;    1;   26;   49;   58
  280;20171213;   71;   80;   50;   29;    9;   52;   65;   81
  280;20171214;   52;   70;   40;   28;    4;   49;   27;   50
  280;20171215;   30;   50;   20;   25;   11;   36;    0;    0
  280;20171216;   34;   50;   30;   24;   -6;   57;   28;   45
  280;20171217;   36;   70;   20;   16;  -39;   51;   29;   46
  280;20171218;   21;   60;    0;   19;   10;   26;   16;   12
  280;20171219;   28;   40;   10;   54;   21;   66;    8;    2
  280;20171220;   28;   50;   10;   67;   51;   78;    5;    1
  280;20171221;   30;   40;   20;   66;   37;   78;   36;    7
  280;20171222;   24;   50;   10;   39;   25;   53;    0;   -1
  280;20171223;   80;   90;   50;   77;   47;   83;    5;    1
  280;20171224;   88;  100;   70;   82;   76;   91;    0;   -1
  280;20171225;   82;  100;   70;   76;   43;   92;    6;    3
  280;20171226;   83;  110;   50;   50;   39;   66;   14;    3
  280;20171227;   50;   80;   40;   46;   31;   54;   79;   39
  280;20171228;   52;   80;   30;   27;   15;   38;   53;   44
  280;20171229;   58;   90;   40;   24;    4;   58;   62;   45
  280;20171230;   68;  100;   40;   67;   31;  102;   60;   67
  280;20171231;   65;  110;   30;   94;   53;  124;  126;  141
  280;20180101;   65;  110;   10;   59;   25;   82;   17;   20
  280;20180102;   52;   90;   30;   53;   30;   75;   41;   20
  280;20180103;  103;  150;   70;   74;   58;   91;   89;  222
  280;20180104;   65;  110;   30;   72;   62;   91;   46;   48
  280;20180105;   55;  110;   20;   59;   34;   72;   32;   32
  280;20180106;   36;   60;   10;   40;   11;   65;   14;   10
  280;20180107;   60;   80;   50;    1;  -26;   24;    0;    0
  280;20180108;   67;   80;   60;   -5;  -30;   20;    0;    0
  280;20180109;   43;   70;   20;    8;  -11;   36;    0;    0
  280;20180110;   22;   30;   10;   55;   34;   71;   17;    3
  280;20180111;   18;   30;   10;   36;   -5;   74;    0;    0
  280;20180112;   20;   30;   10;   34;   26;   46;   37;   12
  280;20180113;   38;   50;   30;   34;   17;   52;    0;   -1
