datum,aantal_bezoeken,unieke_bezoekers,jaar,maand,week,weekdag_nummer,weekdag,is_weekend,seizoen,feestdag,vakantie,tentamenperiode,weekend
2017-08-01,170,137,2017,8,31,2,Tuesday,0,Zomer,0,1,0,0
2017-08-02,140,117,2017,8,31,3,Wednesday,0,Zomer,0,1,0,0
2017-08-03,146,118,2017,8,31,4,Thursday,0,Zomer,0,1,0,0
2017-08-04,157,128,2017,8,31,5,Friday,1,Zomer,0,1,0,0
2017-08-07,188,162,2017,8,32,1,Monday,0,Zomer,0,1,0,0
2017-08-08,146,119,2017,8,32,2,Tuesday,0,Zomer,0,1,0,0
2017-08-09,156,128,2017,8,32,3,Wednesday,0,Zomer,0,1,0,0
2017-08-10,149,127,2017,8,32,4,Thursday,0,Zomer,0,1,0,0
2017-08-11,151,130,2017,8,32,5,Friday,1,Zomer,0,1,0,0
2017-08-14,218,177,2017,8,33,1,Monday,0,Zomer,0,1,0,0
2017-08-15,156,135,2017,8,33,2,Tuesday,0,Zomer,0,1,0,0
2017-08-16,59,49,2017,8,33,3,Wednesday,0,Zomer,0,1,0,0
2017-08-17,134,119,2017,8,33,4,Thursday,0,Zomer,0,1,0,0
2017-08-18,144,116,2017,8,33,5,Friday,1,Zomer,0,1,0,0
2017-08-21,242,196,2017,8,34,1,Monday,0,Zomer,0,1,0,0
2017-08-22,183,156,2017,8,34,2,Tuesday,0,Zomer,0,1,0,0
2017-08-23,210,165,2017,8,34,3,Wednesday,0,Zomer,0,1,0,0
2017-08-24,167,133,2017,8,34,4,Thursday,0,Zomer,0,1,0,0
2017-08-25,156,124,2017,8,34,5,Friday,1,Zomer,0,1,0,0
2017-08-26,56,44,2017,8,34,6,Saturday,1,Zomer,0,1,0,1
2017-08-27,50,42,2017,8,34,7,Sunday,0,Zomer,0,1,0,1
2017-08-28,228,173,2017,8,35,1,Monday,0,Zomer,0,1,0,0
2017-08-29,202,160,2017,8,35,2,Tuesday,0,Zomer,0,1,0,0
2017-08-30,206,165,2017,8,35,3,Wednesday,0,Zomer,0,1,0,0
2017-08-31,183,144,2017,8,35,4,Thursday,0,Zomer,0,1,0,0
2017-09-01,170,123,2017,9,35,5,Friday,1,Herfst,0,1,0,0
2017-09-02,61,44,2017,9,35,6,Saturday,1,Herfst,0,1,0,1
2017-09-03,55,41,2017,9,35,7,Sunday,0,Herfst,0,1,0,1
2017-09-04,250,170,2017,9,36,1,Monday,0,Herfst,0,0,0,0
2017-09-05,306,207,2017,9,36,2,Tuesday,0,Herfst,0,0,0,0
2017-09-06,278,188,2017,9,36,3,Wednesday,0,Herfst,0,0,0,0
2017-09-07,273,187,2017,9,36,4,Thursday,0,Herfst,0,0,0,0
2017-09-08,245,177,2017,9,36,5,Friday,1,Herfst,0,0,0,0
2017-09-09,113,85,2017,9,36,6,Saturday,1,Herfst,0,0,0,1
2017-09-10,106,89,2017,9,36,7,Sunday,0,Herfst,0,0,0,1
2017-09-11,372,282,2017,9,37,1,Monday,0,Herfst,0,0,0,0
2017-09-12,400,279,2017,9,37,2,Tuesday,0,Herfst,0,0,0,0
2017-09-13,216,164,2017,9,37,3,Wednesday,0,Herfst,0,0,0,0
2017-09-14,279,212,2017,9,37,4,Thursday,0,Herfst,0,0,0,0
2017-09-15,324,240,2017,9,37,5,Friday,1,Herfst,0,0,0,0
2017-09-16,139,106,2017,9,37,6,Saturday,1,Herfst,0,0,0,1
2017-09-17,130,107,2017,9,37,7,Sunday,0,Herfst,0,0,0,1
2017-09-18,407,333,2017,9,38,1,Monday,0,Herfst,0,0,0,0
2017-09-19,426,325,2017,9,38,2,Tuesday,0,Herfst,0,0,0,0
2017-09-20,415,325,2017,9,38,3,Wednesday,0,Herfst,0,0,0,0
2017-09-21,365,273,2017,9,38,4,Thursday,0,Herfst,0,0,0,0
2017-09-22,330,241,2017,9,38,5,Friday,1,Herfst,0,0,0,0
2017-09-23,135,106,2017,9,38,6,Saturday,1,Herfst,0,0,0,1
2017-09-24,144,118,2017,9,38,7,Sunday,0,Herfst,0,0,0,1
2017-09-25,492,378,2017,9,39,1,Monday,0,Herfst,0,0,0,0
2017-09-26,402,319,2017,9,39,2,Tuesday,0,Herfst,0,0,0,0
2017-09-27,447,355,2017,9,39,3,Wednesday,0,Herfst,0,0,0,0
2017-09-28,326,259,2017,9,39,4,Thursday,0,Herfst,0,0,0,0
2017-09-29,323,259,2017,9,39,5,Friday,1,Herfst,0,0,0,0
2017-09-30,134,104,2017,9,39,6,Saturday,1,Herfst,0,0,0,1
2017-10-01,155,121,2017,10,39,7,Sunday,0,Herfst,0,0,0,1
2017-10-02,447,342,2017,10,40,1,Monday,0,Herfst,0,0,0,0
2017-10-03,461,362,2017,10,40,2,Tuesday,0,Herfst,0,0,0,0
2017-10-04,275,226,2017,10,40,3,Wednesday,0,Herfst,0,0,0,0
2017-10-05,371,270,2017,10,40,4,Thursday,0,Herfst,0,0,0,0
2017-10-06,436,263,2017,10,40,5,Friday,1,Herfst,0,0,0,0
2017-10-07,165,107,2017,10,40,6,Saturday,1,Herfst,0,0,0,1
2017-10-08,220,148,2017,10,40,7,Sunday,0,Herfst,0,0,0,1
2017-10-09,599,380,2017,10,41,1,Monday,0,Herfst,0,0,0,0
2017-10-10,551,346,2017,10,41,2,Tuesday,0,Herfst,0,0,0,0
2017-10-11,558,373,2017,10,41,3,Wednesday,0,Herfst,0,0,0,0
2017-10-12,417,279,2017,10,41,4,Thursday,0,Herfst,0,0,0,0
2017-10-13,453,292,2017,10,41,5,Friday,1,Herfst,0,0,0,0
2017-10-14,194,132,2017,10,41,6,Saturday,1,Herfst,0,0,0,1
2017-10-15,174,122,2017,10,41,7,Sunday,0,Herfst,0,0,0,1
2017-10-16,576,384,2017,10,42,1,Monday,0,Herfst,0,0,0,0
2017-10-17,546,382,2017,10,42,2,Tuesday,0,Herfst,0,0,0,0
2017-10-18,546,377,2017,10,42,3,Wednesday,0,Herfst,0,0,0,0
2017-10-19,407,288,2017,10,42,4,Thursday,0,Herfst,0,0,0,0
2017-10-20,349,242,2017,10,42,5,Friday,1,Herfst,0,0,0,0
2017-10-21,180,127,2017,10,42,6,Saturday,1,Herfst,0,0,0,1
2017-10-22,199,149,2017,10,42,7,Sunday,0,Herfst,0,0,0,1
2017-10-23,458,311,2017,10,43,1,Monday,0,Herfst,0,0,0,0
2017-10-24,457,327,2017,10,43,2,Tuesday,0,Herfst,0,0,0,0
2017-10-25,457,334,2017,10,43,3,Wednesday,0,Herfst,0,0,0,0
2017-10-26,341,249,2017,10,43,4,Thursday,0,Herfst,0,0,0,0
2017-10-27,333,232,2017,10,43,5,Friday,1,Herfst,0,0,0,0
2017-10-28,195,146,2017,10,43,6,Saturday,1,Herfst,0,0,1,1
2017-10-29,184,133,2017,10,43,7,Sunday,0,Herfst,0,0,1,1
2017-10-30,470,334,2017,10,44,1,Monday,0,Herfst,0,0,1,0
2017-10-31,432,311,2017,10,44,2,Tuesday,0,Herfst,0,0,1,0
2017-11-01,439,342,2017,11,44,3,Wednesday,0,Herfst,0,0,1,0
2017-11-02,309,257,2017,11,44,4,Thursday,0,Herfst,0,0,1,0
2017-11-03,347,274,2017,11,44,5,Friday,1,Herfst,0,0,1,0
2017-11-04,170,133,2017,11,44,6,Saturday,1,Herfst,0,0,1,1
2017-11-05,183,156,2017,11,44,7,Sunday,0,Herfst,0,0,1,1
2017-11-06,392,320,2017,11,45,1,Monday,0,Herfst,0,0,1,0
2017-11-07,360,295,2017,11,45,2,Tuesday,0,Herfst,0,0,1,0
2017-11-08,410,321,2017,11,45,3,Wednesday,0,Herfst,0,0,1,0
2017-11-09,293,248,2017,11,45,4,Thursday,0,Herfst,0,0,1,0
2017-11-10,266,203,2017,11,45,5,Friday,1,Herfst,0,0,1,0
2017-11-11,165,128,2017,11,45,6,Saturday,1,Herfst,0,0,0,1
2017-11-12,144,121,2017,11,45,7,Sunday,0,Herfst,0,0,0,1
